umbilical;pępowina
lynx;ryś
hammer;młotek
sob;szlochać
modesty;skromność
pervasive;rozpowszechniony
infatuation;zauroczenie
oil slick;plama oleju
landfill;wysypisko
equilibrium;równowaga
dereliction;zaniedbanie, opuszczenie
flask;kolba
starvation;głodowanie, głód
dissolve;rozpuszczać
preservation;zachowanie
scribble;nabazgrać
stubble;zarost
cheeky;zuchwały
shortcomings;niedociągnięcia
windfall;nieoczekiwany napływ gotówki
bounty;nagroda, szczodrość
ambiguous, equivocal;niejednoznaczny
unambiguous;jednoznaczny
explicitly;jawnie, wprost
perplex;wprawiać w zakłopotanie
blunder;gafa
enticing;wabiący, przyciągający
