infirmary;gabinet higienistki
inscrutable;enigmatyczny, zagadkowy
peril;niebezpieczeństwo, zagrożenie
slingshot;proca
chivalry;rycerskość
undermine;osłabiać, podkopywać
tantalizing;zwodniczy, kuszący
outlandish;dziwaczny, cudaczny
transient;krótkotrwały, chwilowy
landslide;obsunięcie się ziemi
avalanche;lawina
refined;rafinowany, oczyszczony
repellent;środek odstraszający
herbicide;środek chwastobójczy
offset;równoważyć, wynagradzać
cranky;drażliwy, dziwaczny
goddess;bogini
thick;gruby
eyeball;gałka oczna
cumbersome;kłopotliwy, uciążliwy
adage;przysłowie
insulate;izolować, oddzielać
