jagged;postrzępiony, wyszczerbiony
lighter;zapalniczka
square;kwadrat
prolific;płodny
circus;cyrk
avidly;z zapałem, gorliwie
merit;wartość, zaleta
limbo;otchłań, stan zawieszenia
wean;odstawiać od piersi
broom;zamiatać, miotła
humility;pokora, skromność
mainstay;ostoja, oparcie
twofold;podwójny
remainder;reszta, pozostała część
notability;rozgłos
circa;około
streamline;opływowy kształt
rundown;podsumowanie, raport
coalesce;łączyć się, zespalać się
leverage;wywierać wpływ, wykorzystywać
wickedly;niegodziwie
meticulous;skrupulatny
cornerstone;kamień węgielny
pertain;być adekwatnym, stosownym, dotyczyć
intrinsic;istotny, zasadniczy
adornment;ozdoba, przybranie
ubiquitous;wszechobecny
misfit, creep;odmieniec
